search_term,video_title,comment,sentiment,score
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,Pineapple on pizza is an abomination,NEGATIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,The word is curry chicken,NEGATIVE,0.99
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,Jack fruit is also nice on pizza and personally pineapple does go on pizza sorry,NEGATIVE,0.86
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,What does gout and hair lost have in common one your feet hurt the other your ego hurts STUNG,NEGATIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,I haven’t watched this yet and I know the food’s not going to be as good as the street food in Asia,NEGATIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,I love that wife is filming...,POSITIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,Using cheap ingredients and charging Michelin star prices is so Ramsay,NEGATIVE,0.54
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,''NOT A PLACE KNOWN FOR SPICE'' are you kidding?,NEGATIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,Your food programs are so entertaining ! Your personality sets the tone. Thank you!,POSITIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,Garlic bread with lasagna? Never in Italy,NEGATIVE,0.71
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,"Fun fact, no one ever got diabetes from cheese",POSITIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,"here we have cow shit, a splash of urine with a hint of diarrhea.
Sonny: its unique, something ive never had before. not my favorite tho.
thats sonny being harsh.",NEGATIVE,0.98
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,"Pizza with prosecco wtf pizza goes with beer & that’s a thing to digest it, like pork stake will always go good with wine. Like worst ideea is to eat a chiken or fish in garlic with beer this mix will crate a acid in your belly, like crispy chicken like weatherspoon ones will go perfect with beer or wine. Prosecco is like a champagne if you have any other drink before like let’s skip normal ones let’s say you had whiskey, prosecco or champagne will kill it you will fell sick second day. Let’s say you eat well saturated food like fries and stake you will have no problem drinking something like that. And if you want pizza go to a italian restaurant, if you want chicken you can go to any pub in uk",NEGATIVE,0.75
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,😂😂😂😂 going to the bathroom,NEGATIVE,0.95
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,"Idiot, try it again and then try saying the Petrus😂😂 Petrus is a South African Afrikaans name for 'Peter'",NEGATIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,"""BOTTOMLESS pizza""! ... ha ha ha!",NEGATIVE,1.0
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,"With that crab toast all I can think about was Gordon wondering ""how do I make an English version of a California Roll?"" and absolutely nailing it by taking away the rice, sesame seeds and nori then adding bread.",POSITIVE,0.98
London restaurant review,Harshly Judging Ramsay’s LONDON Restaurants! From Cheap to Expensive!!,"Stop filming on the phone, sir",NEGATIVE,1.0
